Date,GDP
2015-02-11,1295570136518.6863
2015-02-12,1294015158793.0894
2015-02-13,1292465605844.6592
2015-02-14,1290921510665.6401
2015-02-15,1289382906296.6772
2015-02-16,1287849825826.815
2015-02-17,1286322302393.4985
2015-02-18,1284800369182.5742
2015-02-19,1283284059428.287
2015-02-20,1281773406413.284
2015-02-21,1280268443468.6113
2015-02-22,1278769203973.7158
2015-02-23,1277275721356.4448
2015-02-24,1275788029093.0457
2015-02-25,1274306160708.1665
2015-02-26,1272830149774.8547
2015-02-27,1271360029914.559
2015-02-28,1269895834797.1287
2015-03-01,1268437598140.812
2015-03-02,1266985353712.2583
2015-03-03,1265539135326.518
2015-03-04,1264098976847.04
2015-03-05,1262664912185.6758
2015-03-06,1261236975302.6743
2015-03-07,1259815200206.688
2015-03-08,1258399620954.767
2015-03-09,1256990271652.3635
2015-03-10,1255587186453.329
2015-03-11,1254190399559.916
2015-03-12,1252799945222.7764
2015-03-13,1251415857740.963
2015-03-14,1250038171461.929
2015-03-15,1248666920781.5278
2015-03-16,1247302140144.0132
2015-03-17,1245943864042.0386
2015-03-18,1244592127016.6592
2015-03-19,1243246963657.3286
2015-03-20,1241908408601.902
2015-03-21,1240576496536.6357
2015-03-22,1239251262196.1838
2015-03-23,1237932740363.6028
2015-03-24,1236620965870.349
2015-03-25,1235315973596.2783
2015-03-26,1234017798469.6477
2015-03-27,1232726475467.1147
2015-03-28,1231442039613.7363
2015-03-29,1230164525982.97
2015-03-30,1228893969696.674
2015-03-31,1227630405925.1074
2015-04-01,1226373869886.9272
2015-04-02,1225124396849.1938
2015-04-03,1223882022127.3657
2015-04-04,1222646781085.3027
2015-04-05,1221418709135.265
2015-04-06,1220197841737.9119
2015-04-07,1218984214402.3047
2015-04-08,1217777862685.9038
2015-04-09,1216578822194.5703
2015-04-10,1215387128582.566
2015-04-11,1214202817552.5522
2015-04-12,1213025924855.5913
2015-04-13,1211856486291.1453
2015-04-14,1210694537707.077
2015-04-15,1209540114999.6494
2015-04-16,1208393254113.526
2015-04-17,1207253991041.7698
2015-04-18,1206122361825.8452
2015-04-19,1204998402555.6162
2015-04-20,1203882149369.3477
2015-04-21,1202773638453.7036
2015-04-22,1201672906043.7505
2015-04-23,1200579988422.9521
2015-04-24,1199494921923.1758
2015-04-25,1198417742924.6865
2015-04-26,1197348487856.1511
2015-04-27,1196287193194.6365
2015-04-28,1195233895465.609
2015-04-29,1194188631242.9363
2015-04-30,1193151437148.8865
2015-05-01,1192122349854.1265
2015-05-02,1191101406077.7253
2015-05-03,1190088642587.1516
2015-05-04,1189084096198.2734
2015-05-05,1188087803775.3604
2015-05-06,1187099802231.0823
2015-05-07,1186120128526.5085
2015-05-08,1185148819671.1094
2015-05-09,1184185912722.7551
2015-05-10,1183231444787.7166
2015-05-11,1182285453020.6648
2015-05-12,1181347974624.671
2015-05-13,1180419046851.2068
2015-05-14,1179498707000.1443
2015-05-15,1178586992419.7559
2015-05-16,1177683940506.7136
2015-05-17,1176789588706.0908
2015-05-18,1175903974511.3608
2015-05-19,1175027135464.3965
2015-05-20,1174159109155.4724
2015-05-21,1173299933223.2625
2015-05-22,1172449645354.8408
2015-05-23,1171608283285.6821
2015-05-24,1170775884799.662
2015-05-25,1169952487729.0554
2015-05-26,1169138129954.538
2015-05-27,1168332849405.1865
2015-05-28,1167536684058.476
2015-05-29,1166749671940.284
2015-05-30,1165971851124.8867
2015-05-31,1165203259734.9624
2015-06-01,1164443935941.588
2015-06-02,1163693917964.2407
2015-06-03,1162953244070.7996
2015-06-04,1162221952577.5427
2015-06-05,1161500081849.1497
2015-06-06,1160787670298.6982
2015-06-07,1160084756387.6682
2015-06-08,1159391378625.94
2015-06-09,1158707575571.7932
